,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
3076,Bachelor Arts ,Kinesiology and Physical Education,4 Year(s),4 Month(s),University of Lethbridge,CO-OP
3077,College Diploma (DCS) Applied technology ,Landscape Technician,2 Year(s),4 Month(s),Humber College,CO-OP
3078,Bachelor Business administration ,Entrepreneurship,3 Year(s),4 Month(s),Université du Québec en Outaouais (UQO),CO-OP
3079,Bachelor Arts ,English,5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3080,Doctorate Arts ,English,5-7 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3081,Master Sciences ,Food Science,12 Month(s),4 Month(s),University of British Columbia (Vancouver),CO-OP
3082,Master Arts ,Communications Studies,16 Month(s),4 Month(s),Wilfrid Laurier University,CO-OP
3083,Master Management Sciences ,Finance,20 Month(s),4 Month(s),Wilfrid Laurier University,CO-OP
3084,Master Applied Sciences,Global Health,12 Month(s),4 Month(s),Western University,CO-OP
3085,College Diploma (DCS) ,Public Relations,10 Month(s),2 Month(s),MacEwan University,CO-OP
3086,Master Business administration ,Human Resources,2 Month(s),4 Month(s),Brock University,CO-OP
3087,Master Data Analytics,Data Analytics (MDA),12 Month(s),4 Month(s),Western University,CO-OP
3088,Graduate Certificate Applied technology ,Structural Steel Management and Detailing,16 Month(s),4 Month(s),Conestoga College,CO-OP
3089,Master Applied technology ,Professional Master's Program: Mechatronic Product Realization,16 Month(s),4 Month(s),Simon Fraser University,CO-OP
3090,Master Sciences ,Master of Science in Professional Computer Science ,16 Month(s),4 Month(s),Simon Fraser University,CO-OP
3091,Master Social Sciences ,Master of Arts in Policy Studies,2 Year(s),4 Month(s),University of Alberta,CO-OP
3092,College Diploma (DCS) Applied technology ,Fire and Life Safety Systems Technician,2 Year(s),4 Month(s),Durham College,CO-OP
3093,College Diploma (DCS) Business administration ,Supply Chain and Operations Management,3 Year(s),4 Month(s),Durham College,CO-OP
3094,College Diploma (DCS) Applied technology ,Civil Engineering Technician,2 Year(s),4 Month(s),Durham College,CO-OP
3095,College Diploma (DCS) Engineering ,Civil Engineering Technology,3 Year(s),4 Month(s),Durham College,CO-OP
3096,College Diploma (DCS) Management,"Hospitality, Hotel and Restaurant Operations Management",2 Year(s),4 Month(s),Durham College,CO-OP
3098,Bachelor Applied Sciences,Applied Water Science,5 Year(s),8 Month(s),Wilfrid Laurier University,CO-OP
3099,Master Social Sciences ,Economics,2 Year(s),4-12 Month(s),University of Saskatchewan,CO-OP
3100,Master Arts & Sciences ,Géographie,2 Year(s),4 Month(s),Université de Montréal,CO-OP
