academic_level_area_of_study_f,academic_level_area_of_study_e,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,program_type_e,program_type_f
Doctorat Arts & Sciences sociales ,Doctorate Arts & Social Sciences ,Geography,Géographie,4 Year(s),4 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts & Sciences sociales ,Master Arts & Social Sciences ,Geography (Course-Based),Géographie,2 Year(s),2 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts & Sciences sociales ,Master Arts & Social Sciences ,Greek and Roman Studies,Études Grecques et Romaines,2 Year(s),2 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Doctorat Arts & Sciences sociales ,Doctorate Arts & Social Sciences ,Greek and Roman Studies,Études Grecques et Romaines,4 Year(s),4 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts & Sciences sociales ,Master Arts & Social Sciences ,Greek and Roman Studies (Course-Based),Études Grecques et Romaines,2 Year(s),2 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts & Sciences sociales ,Master Arts & Social Sciences ,History,Histoire,2 Year(s),2 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Doctorat Arts & Sciences sociales ,Doctorate Arts & Social Sciences ,History,Histoire,4 Year(s),4 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts & Sciences sociales ,Master Arts & Social Sciences ,History (Course-Based),History,3 Year(s),3 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts & Sciences sociales ,Master Arts & Social Sciences ,"Languages, Literatures and Cultures","Langues, littérature et cultures",2 Year(s),2 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Doctorat Arts & Sciences sociales ,Doctorate Arts & Social Sciences ,"Languages, Literatures and Cultures","Langues, littérature et cultures",4 Year(s),4 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts & Sciences sociales ,Master Arts & Social Sciences ,Linguistics,Linguistique,2 Year(s),2 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Doctorat Arts & Sciences sociales ,Doctorate Arts & Social Sciences ,Linguistics,Linguistique,4 Year(s),4 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts & Sciences sociales ,Master Arts & Social Sciences ,"Military, Security and Strategic Studies","Études militaires, de sécurité et stratégiques",2 Year(s),2 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Doctorat Arts & Sciences sociales ,Doctorate Arts & Social Sciences ,"Military, Security and Strategic Studies","Études militaires, de sécurité et stratégiques",4 Year(s),4 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts ,Master Arts ,Music,Musique,4-5 Year(s),4-5 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Doctorat Arts ,Doctorate Arts ,Music,Musique,6 Year(s),6 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts & Sciences sociales ,Master Arts & Social Sciences ,Philosophy,Philosophie,2 Year(s),2 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Doctorat Arts & Sciences sociales ,Doctorate Arts & Social Sciences ,Philosophy,Philosophie,4 Year(s),4 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts & Sciences sociales ,Master Arts & Social Sciences ,Philosophy (Course-Based),Philosophie,3 Year(s),3 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Arts & Sciences sociales ,Master Arts & Social Sciences ,Religious Studies,Études religieuses,2 Year(s),2 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Doctorat Arts & Sciences sociales ,Doctorate Arts & Social Sciences ,Religious Studies,Études religieuses,4 Year(s),4 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Maîtrise Technologie appliquée ,Master Applied technology ,Environmental Design,Conception environnementale,2 Year(s),2 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Doctorat Technologie appliquée ,Doctorate Applied technology ,Environmental Design,Conception environnementale,4 Year(s),4 Année(s),210 Hour(s),210 Heure(s),University of Calgary,University of Calgary,Natalie Wilkinson-Houghton,Internship,Stages
Diplôme d'études collégiales (DEC) Droit ,College Diploma (DCS) Law ,Law Clerk Advanced,Law Clerk Advanced,3 Year(s),3 Année(s),350 Hour(s),350 Heure(s),Durham College,Durham College,Trevor Greenall,Internship,Stages
Diplôme d'études collégiales (DEC) Droit ,College Diploma (DCS) Law ,Paralegal,Paralegal,2 Year(s),2 Année(s),120 Hour(s),120 Heure(s),Durham College,Durham College,Trevor Greenall,Internship,Stages
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Business Administration,Administration des affaires,2 Year(s),2 Année(s),60 Hour(s),60 Heure(s),"Collège communautaire du Nouveau-Brunswick CCNB, Dieppe Campus",Collège communautaire du Nouveau-Brunswick CCNB Campus de Dieppe,Stéphanie Doucet-Landry,Internship,Stages
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Accounting Techniques,Techniques de comptabilité,2 Year(s),2 Année(s),60 Hour(s),60 Heure(s),"Collège communautaire du Nouveau-Brunswick CCNB, Dieppe Campus",Collège communautaire du Nouveau-Brunswick CCNB Campus de Dieppe,Josée Turgeon-Roy,Internship,Stages
Diplôme d'études collégiales (DEC) Sciences appliquées,College Diploma (DCS) Applied Sciences,Bioecology,Techniques de bioécologie,3 Year(s),3 Année(s),150 Hour(s),150 Heure(s),Cégep de La Pocatière,Cégep de La Pocatière,Francis Turcotte,Internship,Stages
Certificat de deuxième cycle Droit ,Graduate Certificate Law ,Paralegal,Paralégal,1 Year(s),1 Année(s),120 Hour(s),120 Heure(s),Humber College,Humber College,Mary Anne Myers,Internship,Stages
Diplôme d'études collégiales (DEC) Droit ,College Diploma (DCS) Law ,Paralegal,Parajuriste ,2 Year(s),2 Année(s),120 Hour(s),120 Heure(s),La Cité - Collège d'arts appliqués et de technologie ,La Cité - Collège d'arts appliqués et de technologie,Cristian St-Onge,Internship,Stages
Diplôme d'études collégiales (DEC) Droit ,College Diploma (DCS) Law ,Legal Assistant,Adjoint juridique,2 Year(s),2 Année(s),105 Hour(s),105 Heure(s),La Cité - Collège d'arts appliqués et de technologie ,La Cité - Collège d'arts appliqués et de technologie,Cristian St-Onge,Internship,Stages
Baccalauréat Communication ,Bachelor Communication ,Communication (Public Relations),Communication (relations publiques),3 Year(s),3 Année(s),140 Hour(s),140 Heure(s),Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),Bernard Motulsky,Internship,Stages
Doctorat Sciences ,Doctorate Sciences ,Actuarial,Actuariat,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences ,Doctorate Sciences ,Agroeconomics,Agroéconomie,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Environnement ,Doctorate Environment ,Spatial Planning and Regional Development,Aménagement du territoire et développement régional,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences sociales ,Doctorate Social Sciences ,Anthropology,Anthropologie,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Éducation ,Doctorate Education ,Education Administration and Policy,Administration et politiques de l'éducation,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Arts ,Doctorate Arts ,Architecture,Architecture,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences sociales ,Doctorate Social Sciences ,Archeology,Archéologie,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences ,Doctorate Sciences ,Biochemistry,Biochimie,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences ,Doctorate Sciences ,Biology,Biologie,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences ,Doctorate Sciences ,Cellular and Molecular Biology,Biologie cellulaire et moléculaire,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences ,Doctorate Sciences ,Biophotonics,Biophotonique,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences appliquées,Doctorate Applied Sciences,Biostatistics,Biostatistique,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Éducation ,Doctorate Education ,Didactic,Didactique,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences ,Doctorate Sciences ,Plant's biology,Biologie végétale,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences ,Doctorate Sciences ,Chemistry,Chimie,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Communication ,Doctorate Communication ,Public communication,Communication publique,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Droit ,Doctorate Law ,Law,Droit,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences sociales ,Doctorate Social Sciences ,Classical Studies,Études anciennes,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Communication ,Doctorate Communication ,Literary Studies,Études littéraires,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences de la santé ,Doctorate Health Sciences ,Epidemiology,Épidémiologie,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences sociales ,Doctorate Social Sciences ,Ethnology and Heritage,Ethnologie et patrimoine,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Génie ,Doctorate Engineering ,Wood and Biobased Materials Engineering,Génie du bois et des matériaux biosourcés,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Génie ,Doctorate Engineering ,Chemical engineering,Génie chimique,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Génie ,Doctorate Engineering ,Civil engineering,Génie civil,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Génie ,Doctorate Engineering ,Electrical Engineering,Génie électrique,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Génie ,Doctorate Engineering ,Water engineering,Génie des eaux,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Génie ,Doctorate Engineering ,Mechanical Engineering,Génie mécanique,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Génie ,Doctorate Engineering ,Materials and Metallurgical Engineering,Génie des matériaux et de la métallurgie,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Génie ,Doctorate Engineering ,Mining Engineering,Génie des mines,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Technologie appliquée ,Doctorate Applied technology ,Computer Science,Informatique,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Arts ,Doctorate Arts ,Music education,Musique - éducation musicale,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences de la santé ,Doctorate Health Sciences ,Neurosciences,Neurosciences,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences sociales ,Doctorate Social Sciences ,History,Histoire,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences de la santé ,Doctorate Health Sciences ,Nutrition,Nutrition,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat ,Doctorate ,Kinesiology,Kinésiologie,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Communication ,Doctorate Communication ,Spanish-speaking Literature,Littératures d'expression espagnole,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Communication ,Doctorate Communication ,Linguistics,Linguistique,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences ,Doctorate Sciences ,Food Microbiology,Microbiologie alimentaire,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences appliquées,Doctorate Applied Sciences,Mathematics,Mathématiques,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
Doctorat Sciences ,Doctorate Sciences ,Microbiology,Microbiologie,4 Year(s),4 Année(s),140 Hour(s),140 Heure(s),Université Laval,Université Laval,Catherine  Marquis,Internship,Stages
